Semaine,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
28/11,M5 S3 F1,A3 P4,M6 C4,A4 P5,M7 S4,A5 C2,M8 P6,A6 C6,M1 S1 F2,A1 P1,M2 C1,A2 P2,M3 S2,D1 C5,M4 P3,D2 C3
05/12,A3 C3,M5 S3 F1,A4 P4,M6 C4,A5 P5,M3 S4,A6 C2,M8 P6,A7 C6,M1 S1 F2,A1 P1,M2 C1,A2 P2,M7 S2,D1 C5,M4 P3
12/12,M4 P3,A2 C3,M5 S3 F1,A3 P4,M6 C4,A4 P5,M3 S4,A5 C2,M8 P6,A6 C6,M1 S1 F2,A1 P1,M2 C1,D2 P2,M7 S2,D1 C5
03/01,A2 C2,M4 P3,A3 C3,M5 S3 F1,A4 P4,M2 C4,A5 P5,M3 S4,A6 C1,M8 P6,A7 C6,M1 S1 F2,A1 P1,M6 C5,P2 D1,M7 S2
09/01,M7 S2,A1 C2,M4 P3,A2 C3,M5 S3 F1,A3 P4,M2 C4,A4 P5,M3 S4,A5 C1,M8 P1,A6 C6,M1 S1 F2,D1 P6,M6 C5,D2 P2
16/01,A1 P2,M7 S2,A2 C2,M4 P3,A3 C3,M5 S3 F1,A4 P4,M2 C4,A5 P5,M3 S4,A6 C1,M8 P1,A7 C6,M1 S1 F2,D1 P6,M6 C5
